time[s], acc_x[m/s^2], acc_y[m/s^2], acc_z[m/s^2]
11.119, 2.396, -1.009, 0.251
11.15, 2.837, -0.556, 0.951
11.179, 3.477, 0.108, 0.914
11.208, 2.676, 0.146, 1.241
11.239, 1.726, -0.103, 1.269
11.271, 1.303, 0.119, 1.333
11.302, 0.669, 0.264, 1.117
11.329, -1.107, -1.008, 0.921
11.356, -1.165, -2.228, 0.35
11.384, -3.438, -1.353, 1.394
11.412, -4.656, 0.456, 2.782
11.44, -5.619, 1.151, 2.703
11.469, -1.766, 3.447, -1.025
11.5, -0.008, -1.939, -1.108
11.529, 1.396, -0.292, -3.13
11.558, 1.318, 0.01, -2.49
11.591, -0.959, 0.101, -1.554
11.625, -0.451, -0.619, -0.685
11.661, 0.794, 0.363, 0.012
11.69, 3.488, 0.815, 1.083
11.72, 3.75, 0.487, 1.348
11.749, 4.106, -0.162, 1.452
11.778, 4.053, 0.02, 1.596
11.808, 2.414, 0.005, 1.462
11.835, 1.95, -0.378, 1.246
11.862, -0.228, 0.313, 0.904
11.889, -1.53, 0.984, 1.259
11.917, -3.093, 1.512, 1.602
11.949, -5.112, 2.111, 2.56
11.98, -4.84, 0.449, 4.198
12.012, -5.841, -3.687, -9.738
12.046, 1.502, 0.881, -2.16
12.078, 0.225, 3.912, -2.334
12.106, -1.072, 0.281, -2.67
12.134, 0.212, -2.317, -1.951
12.162, 0.419, -0.049, 0.277
12.19, 1.851, 0.261, 1.054
12.217, 2.218, 0.248, 1.185
12.248, 3.278, -0.353, 0.915
12.28, 3.791, -0.225, 1.02
12.313, 3.978, 0.464, 1.462
12.348, 1.74, -1.55, 0.155
12.38, 0.439, -2.076, -0.111
12.413, -0.305, 0.024, 1.666
12.446, -3.099, -0.457, 1.348
12.479, -5.098, -0.877, 0.891
12.513, -4.069, -0.65, 1.687
12.546, 0.532, 4.29, -3.793
12.579, 2.189, 1.398, -2.072
12.614, 0.921, 0.088, -1.771
12.644, -1.806, -2.93, -2.426
12.675, -2.806, -0.882, -1.515
12.701, -1.655, -0.264, -0.443
12.727, 1.962, -0.173, 0.718
12.754, 3.374, 0.384, 1.06
12.782, 3.568, 0.314, 1.604
12.813, 3.789, -0.161, 1.322
12.842, 4.237, -0.443, 0.943
12.869, 2.712, -0.748, 0.972
12.899, 1.145, -0.286, 0.822
